"","Row.names","SB_P","SB_Q","MM_P","MM_Q","DM_P","DM_Q","FF_P","FF_Q"
"1","OTU0_NA_NA","Absent","Absent","Absent","Absent","Present","Absent","Absent","Absent"
"2","OTU1_Phialocephala_fortinii","Present","Present","Present","Present","Present","Present","Present","Present"
"3","OTU11_Gyoerffyella_NA","Present","Absent","Present","Absent","Absent","Absent","Absent","Present"
"4","OTU12_Didymella_NA","Absent","Absent","Absent","Absent","Present","Absent","Absent","Absent"
"5","OTU13_Pezicula_NA","Absent","Absent","Present","Absent","Present","Present","Present","Present"
"6","OTU14_Penicillium_citrinum","Absent","Present","Absent","Present","Present","Absent","Absent","Absent"
"7","OTU15_Cistella_NA","Present","Absent","Present","Absent","Absent","Absent","Absent","Absent"
"8","OTU16_Hypoxylon_carneum","Absent","Absent","Present","Absent","Absent","Absent","Absent","Absent"
"9","OTU17_Glutinomyces_NA","Absent","Absent","Absent","Absent","Present","Absent","Absent","Absent"
"10","OTU18_NA_NA","Absent","Absent","Present","Absent","Absent","Absent","Present","Present"
"11","OTU19_Penicillium_NA","Absent","Present","Present","Absent","Present","Present","Present","Absent"
"12","OTU2_Pezicula_NA","Present","Present","Present","Present","Present","Present","Present","Present"
"13","OTU20_Aspergillus_unguis","Absent","Absent","Absent","Absent","Absent","Absent","Present","Absent"
"14","OTU21_Aureobasidium_NA","Absent","Absent","Absent","Present","Absent","Absent","Absent","Absent"
"15","OTU22_Penicillium_chrysogenum","Present","Absent","Absent","Absent","Absent","Absent","Absent","Absent"
"16","OTU23_NA_NA","Present","Absent","Absent","Absent","Absent","Absent","Absent","Absent"
"17","OTU24_Pezicula_NA","Absent","Absent","Absent","Absent","Absent","Present","Absent","Present"
"18","OTU25_NA_NA","Present","Absent","Absent","Absent","Absent","Absent","Absent","Present"
"19","OTU26_NA_NA","Absent","Absent","Absent","Absent","Absent","Present","Absent","Absent"
"20","OTU27_Bjerkandera_NA","Absent","Absent","Absent","Absent","Absent","Absent","Present","Absent"
"21","OTU28_NA_NA","Absent","Absent","Absent","Present","Absent","Absent","Absent","Absent"
"22","OTU29_Lachnum_pygmaeum","Absent","Absent","Absent","Present","Absent","Absent","Absent","Absent"
"23","OTU3_NA_NA","Present","Present","Present","Present","Present","Absent","Present","Absent"
"24","OTU30_NA_NA","Present","Absent","Absent","Absent","Absent","Absent","Absent","Absent"
"25","OTU31_NA_NA","Absent","Absent","Absent","Present","Absent","Absent","Absent","Absent"
"26","OTU4_Lachnum_pygmaeum","Absent","Present","Present","Present","Present","Absent","Present","Present"
"27","OTU5_Trichoderma_NA","Absent","Present","Absent","Absent","Present","Absent","Absent","Absent"
"28","OTU6_NA_NA","Present","Absent","Absent","Absent","Present","Absent","Present","Absent"
"29","OTU7_Cadophora_NA","Absent","Absent","Absent","Absent","Absent","Absent","Absent","Present"
"30","OTU8_Penicillium_steckii","Absent","Absent","Absent","Absent","Absent","Present","Absent","Absent"
"31","OTU9_Penicillium_subrubescens","Absent","Absent","Present","Absent","Present","Present","Absent","Absent"
